"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
143.333290471784,-0.0645447186663155,0.398790227480067,-0.161851304817999,0.871422950224469,0.999982544543552,"A1BG"
0.0565305043917336,0.97155961496269,4.32794324778021,0.224485294593685,0.822379708166284,0.999982544543552,"A1CF"
25374.8247373113,-0.17990608285108,0.866895624446958,-0.207529116283004,0.835596656091966,0.999982544543552,"A2M"
0.557300263683304,0.423397452361768,3.3791425263725,0.125297305176495,0.900288185529956,0.999982544543552,"A2ML1"
0.169407389412353,0.255004064711878,4.32794324778021,0.0589203809090308,0.953015524633406,0.999982544543552,"A3GALT2"
356.285378058482,-0.355319474828487,0.598150005101665,-0.594030714365864,0.552491570143524,0.999982544543552,"A4GALT"
0.674318329432366,1.06628677286683,4.3179446818557,0.246943129528139,0.804952237178733,0.999982544543552,"A4GNT"
759.838536677882,0.0469372476065345,0.124201297754358,0.377912698620635,0.705495448677335,0.999982544543552,"AAAS"
311.18348441407,0.00750986021919916,0.153667270360447,0.0488709157231971,0.961022167047176,0.999982544543552,"AACS"
1.32577189509685,-0.446958083073102,2.55192773786807,-0.175145274076804,0.86096548447473,0.999982544543552,"AADAC"
1.55114437301463,-0.796051850999839,1.5220981931259,-0.522996383935656,0.600976769652424,0.999982544543552,"AADACL2"
0,NA,NA,NA,NA,NA,"AADACL3"
8.43132843789072,-1.40832084422083,1.06817364838435,-1.31843810821486,0.187357030894432,0.999982544543552,"AADACL4"
123.606233735342,0.0898989139052872,0.312278963409053,0.287880147045092,0.773438484266205,0.999982544543552,"AADAT"
624.039884506534,-0.48521226699983,0.343178732400024,-1.4138762725956,0.1573982337564,0.999982544543552,"AAED1"
317.78034036048,0.14557325333516,0.217094660223873,0.670551975737411,0.502505984931365,0.999982544543552,"AAGAB"
1345.9229681366,-0.217536902314011,0.15504506115032,-1.4030559935289,0.160600142413295,0.999982544543552,"AAK1"
269.344936063514,-0.238732494860991,0.222564463639902,-1.07264426205635,0.283430757416255,0.999982544543552,"AAMDC"
1430.90798240706,-0.150050680829527,0.128379906255024,-1.16880191929299,0.24248344693263,0.999982544543552,"AAMP"
0.555740781744961,0.528192712685811,4.32794324776282,0.122042430422082,0.902865414789877,0.999982544543552,"AANAT"
690.352578455289,-0.1141020851598,0.118650758822512,-0.961663341154727,0.336218742562154,0.999982544543552,"AAR2"
1.25975394627515,-1.90111836339861,1.82876566337894,-1.03956368028366,0.298542658181376,0.999982544543552,"AARD"
2852.57567670294,0.161250015371492,0.211905320709284,0.76095312204413,0.446685067501126,0.999982544543552,"AARS"
293.65432168781,0.335082734702053,0.279802112179164,1.1975704260856,0.231084295094852,0.999982544543552,"AARS2"
277.771649562686,0.096649166669787,0.141483999528612,0.683110224419702,0.494537195165413,0.999982544543552,"AARSD1"
223.273163588365,0.0194712527344173,0.242441404539395,0.080313231856621,0.935988134709989,0.999982544543552,"AASDH"
705.429649752588,-0.108012003359404,0.105854730861338,-1.02037955678043,0.307548485510068,0.999982544543552,"AASDHPPT"
903.984840176309,-0.559387730278384,0.416039808945969,-1.34455337746545,0.178769507992961,0.999982544543552,"AASS"
752.079754845393,-0.115287951202842,0.106855167693472,-1.07891788194615,0.280624336515135,0.999982544543552,"AATF"
26.8845782933318,-0.234051681253765,0.743746024734451,-0.314693018140609,0.752994745844625,0.999982544543552,"AATK"
0.0420115566754054,-0.471088134091734,4.32794324778021,-0.108848038692133,0.913323020778863,0.999982544543552,"AATK-AS1"
528.159642450725,-0.467076834498866,0.366807287261414,-1.27335756600166,0.20289118789683,0.999982544543552,"ABAT"
16.8809077682034,-0.492987305584385,0.583508430916598,-0.844867493705242,0.398184825516401,0.999982544543552,"ABC13-47488600E17.1"
80.5320938726929,0.0656930238478797,0.40862023927693,0.16076791488382,0.872276196682674,0.999982544543552,"ABC7-42404400C24.1"
8627.22922676018,-0.161926520565137,0.237275010487007,-0.682442370280724,0.494959271715625,0.999982544543552,"ABCA1"
92.1066586969154,0.0364227674841028,0.595334721087542,0.0611803178849818,0.951215604417839,0.999982544543552,"ABCA10"
4.37240881412787,0.13409535740204,0.821543944689528,0.163223596581575,0.870342387958948,0.999982544543552,"ABCA12"
49.2604469053419,-0.160232934591393,0.599452819745162,-0.267298658565842,0.789239219513607,0.999982544543552,"ABCA13"
1326.64852018597,0.000143205767052111,0.238880372572961,0.000599487373155249,0.999521678309213,0.999982544543552,"ABCA2"
