"SRR1039508","SRR1039509","SRR1039510","SRR1039511","SRR1039512","SRR1039513","SRR1039514","SRR1039515","SRR1039516","SRR1039517","SRR1039518","SRR1039519","SRR1039520","SRR1039521","SRR1039522","SRR1039523"
5687.094,3832.603,5905.903,4363.067,5227.969,2215.372,6903.943,5792.264,6439.361,5439.598,4698.243,4916.991,4021.194,3260.982,5267.648,4132.066
102.577,136.684,142.777,136.411,307.074,55.079,102.941,212.422,148.718,164.376,111.578,95.53,114.518,88.928,128.798,210.398
5,4,4,3,1,2,3,2,8,0,5,6,3,11,6,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118.044,184.671,117.468,156.035,193.456,152.014,328.021,109.707,262.065,629.22,487.341,70.564,155.056,280.415,137.938,279.199
0,0,14.588,0,0,2.439,0,0,0,0,0,0,0,0,0,0
976.884,814.953,957.117,940.059,936.635,769.134,1567.502,811.921,1163.819,1765.001,1346.509,988.563,843.209,1374.022,1135.313,1710.537
96.798,44.847,110.477,63.31,147.766,36.861,87.491,121.368,184.904,104.025,99.545,139.359,134.508,50.569,165.904,51.741
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351.778,705.049,382.897,645.999,610.939,700.056,1518.294,609.066,330.763,695.24,825.25,339.502,557.094,1065.149,733.676,1399.593
413.102,415.914,338.427,465.294,531.104,300.732,808.648,413.642,421.599,466.667,566.296,345.253,374.183,485.204,487.693,658.855
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104.879,825.744,1098,905.061,1027.87,646.042,1705.042,987.224,1165.98,1304.461,1239.833,725.016,894.487,877.1,1351.839,1064
300.057,178.679,289.43,218.214,492.807,153.568,338.962,307.186,369.524,355.602,348.239,250.506,241.46,251.093,361.189,329.245
354.747,332.872,378.566,337.687,294.382,152.11,539.812,456.477,498.008,528.698,568.472,261.543,280.693,347.267,457.389,580.71
1038.19,1078.88,1459.784,1301.05,673.235,746.006,1491.685,1004.183,947.246,1573.221,1195.249,769.797,670.031,869.583,1051.42,888.453
154.994,71.284,120.971,47.478,94.53,197.87,269.247,115.586,218.637,258.772,375.627,172.74,128.312,121.78,256.906,282.544
738.632,584.051,710.014,659.005,894.103,408.555,1228.858,735.737,887.384,1092.519,917.726,753.191,617.037,570.351,885.404,870.254
202,240,324,275,362.087,168.226,358.051,345.002,107.84,212,219.107,148.009,369.177,836.267,563.146,1013.247
0,7.578,0,0,12.523,11.246,6.404,10.525,0,6.863,0,0,0,7.392,0,0
0,0,0,5.444,0,0,15,6,0,12,0,0,6,7,6,3.572
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
0,4,2,4,7.266,4,5,0,3,6,2.479,2,2,0,3,10
306.509,220.244,318.332,232.436,353.403,175.555,409.417,374.9,361.163,226.099,288.685,272.456,363.42,180.552,379.628,330.566
96.999,42.852,106.314,59.493,130.26,30.999,112.851,5.961,102.132,87.676,108,65,85.415,52.486,106.065,93.992
712.25,803.199,603.87,867.477,1007.188,736.113,1326.55,676.681,954.838,1226.156,1046.138,825.107,758.884,955.032,875.047,975.154
4,1,0,0,0,0,0,0,0,0,0,0,3,0,5,0
153.5,180.843,173.097,182.135,195.388,193.578,426.434,207.471,170.078,302.285,229.172,157.904,140.489,191.451,197.782,243.809
260.323,234.314,225.937,282.287,236.321,140.102,333.337,202.711,237.709,310.094,278.935,197.96,212.375,183.842,268.088,265.326
21.606,11.64,34.615,17.081,37.128,13.899,29.858,32.132,35.285,26.584,29.957,22.201,21.171,19.423,44.235,24.08
1047.787,1060.161,1059.345,1142.043,957.773,616.039,1508.939,803.526,842.624,1082.963,1147.732,695.594,819.968,1014.824,1200.58,1527.344
336.966,459,322.476,501.973,430.92,410.934,767.163,362.307,348.699,577.923,552.005,283.918,331.29,557.934,476.008,760.061
592.29,534.197,548.088,553.915,633.63,341.004,786.343,500.333,611.315,703.11,683.614,565.866,529,578,759.901,684.615
37,29,34,34,69,21,76,45,45,63,60,36,55,64,66,63
25.824,45.441,46.778,26.823,21.33,21.872,46.386,59.303,74.655,41.173,29.657,32.245,20.432,107.897,48.24,80.483
106.491,127.37,157.631,195.872,148.045,139.626,276.375,129.34,166.061,327.265,275.42,161.455,155.77,202.942,194.07,137.967
371,498.593,301.004,475,438,396.381,892.635,383,482.801,967.572,874.537,535.469,443,577.018,479,608
28.047,16.604,39.633,22.284,53.081,59.842,59.809,101.735,56.953,107.183,33.037,95.628,67.472,30.596,110.009,28.996
1600.135,1483.531,1416.6,1700.347,1788.711,1446.812,3250.311,1719.395,1563.91,2948.596,2239.1,1469.199,1802.907,2557.929,2141.364,3012.484
31.897,108,83,113.003,85.43,79.046,177.084,86,65.01,112,109,45,51,107,60,148.001
544.018,361.381,605.212,343.43,697.316,431.767,896.098,594.606,620.018,492.295,597.863,570.252,428.669,436.682,615.412,690.802
76.555,259.579,62.786,189.546,58.669,12.069,310.491,118.771,98.296,187.709,206.071,167.171,12.594,267.465,88.897,138.062
43.75,17.68,63.092,99.609,83.576,51.731,137.257,12.568,122.082,66.426,111.474,57.712,39.405,80.552,100.315,15.985
315.839,311.047,301.231,297.257,375.605,182.979,397.703,270.308,351.22,377.793,343.652,279.988,338.853,351,439.972,403.175
263.087,421.108,514.22,113.338,475.706,215.611,464.717,263.797,423.225,418.49,409.318,244.247,191.821,591.312,592.967,430.922
1096.569,689.712,1261.282,796.919,1288.786,694.129,1502.999,1133.571,1432.779,1424.347,1316.219,1205.233,884.584,823.104,1517.468,1323.406
0,0,1,0,0,1,0,1,3,1,0,0,0,0,0,0
1978.811,1310.641,1973.11,2266.375,2044.114,1109.565,3215.598,1552.241,1679.115,1997.834,1756.167,1164.895,2381.488,3288.339,3280.45,4020.626
