PC1,PC2,group,name,cell_line,condition
-11.472028036047059,-4.204030756988993,untreated,SRR1039508,N61311,untreated
6.852533885821807,-3.4211567574328456,dexamethasone,SRR1039509,N61311,dexamethasone
-12.02937166817549,-4.339677841269333,albuterol,SRR1039510,N61311,albuterol
6.6385877971897,-4.471072411819438,albuterol_dexamethasone,SRR1039511,N61311,albuterol_dexamethasone
-6.879357206878649,-2.4460280875141835,untreated,SRR1039512,N052611,untreated
13.028925595781635,-3.5437828632172708,dexamethasone,SRR1039513,N052611,dexamethasone
9.628594632614938,-3.642435010715855,albuterol,SRR1039514,N052611,albuterol
-4.303342693561267,-3.763128544520626,albuterol_dexamethasone,SRR1039515,N052611,albuterol_dexamethasone
-10.065949135989507,11.485675531684137,untreated,SRR1039516,N080611,untreated
6.854407104482063,14.724801796234289,dexamethasone,SRR1039517,N080611,dexamethasone
6.639295635512904,14.006400509882397,albuterol,SRR1039518,N080611,albuterol
-7.180044506118533,11.223431857681952,albuterol_dexamethasone,SRR1039519,N080611,albuterol_dexamethasone
-9.369468056975219,-5.9699972706524695,untreated,SRR1039520,N061011,untreated
11.530924726607338,-4.756834807144394,dexamethasone,SRR1039521,N061011,dexamethasone
-10.485588010092856,-5.57349856485352,albuterol,SRR1039522,N061011,albuterol
10.611879935828174,-5.308666779353839,albuterol_dexamethasone,SRR1039523,N061011,albuterol_dexamethasone
